y,x,idea,beta,alpha,z_last,abs_z,adf_pval,nobs,bucket_y,bucket_x,is_bahrain_pair,is_ksa_pair,ksa_cross
KSA 3.45 02/02/61,UAE 2 7/8 10/19/41,Short Y / Long X,0.76,105.8,-2.05,2.05,0.1993,122,IG,IG,False,True,True
PIFKSA 4 7/8 02/14/35,DPWDU 4.7 09/30/49,Short Y / Long X,0.53,36.94,-2.04,2.04,0.1552,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 01/29/54,KSA 5 1/4 01/16/50,Long Y / Short X,0.95,32.03,2.04,2.04,0.1665,122,IG,IG,False,True,False
KSA 5 04/17/49,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.71,59.08,-2.03,2.03,0.0379,121,IG,IG,False,True,True
KSA 5 1/2 10/25/32,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.47,37.89,-2.03,2.03,0.0656,121,IG,QUASI,False,True,True
KSA 5 1/2 10/25/32,QATAR 6.4 01/20/40,Short Y / Long X,1.17,-16.36,-2.03,2.03,0.071,122,IG,IG,False,True,True
OMAN 6 3/4 01/17/48,ESCWPC 4.45 08/01/35,Short Y / Long X,0.47,124.06,-2.03,2.03,0.0914,122,IG,OTHER,False,False,False
KSA 5 01/18/53,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.65,58.73,-2.02,2.02,0.0358,122,IG,QUASI,False,True,True
DPWDU 5 5/8 09/25/48,KSA 5 04/17/49,Long Y / Short X,1.42,-60.17,2.02,2.02,0.0754,122,QUASI,IG,False,True,True
OMAN 6 1/4 01/25/31,KSA 4 1/2 04/22/60,Long Y / Short X,0.7,-6.32,2.02,2.02,0.1806,122,IG,IG,False,True,True
ARAMCO 4 3/4 06/02/30,KUWIB 4.652 10/09/35,Long Y / Short X,1.1,-8.94,2.01,2.01,0.0724,122,IG,IG,False,False,False
ARAMCO 4 3/8 04/16/49,KSA 3 1/4 11/17/51,Long Y / Short X,0.91,10.99,2.01,2.01,0.0826,122,IG,IG,False,True,True
PIFKSA 5 1/4 10/13/32,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.86,28.13,-2.0,2.0,0.0004,122,IG,QUASI,False,True,True
KSA 3 3/4 01/21/55,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.68,71.91,-2.0,2.0,0.0097,121,IG,IG,False,True,True
KSA 3 3/4 01/21/55,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.94,20.56,-2.0,2.0,0.036,122,IG,IG,False,True,True
KSA 5 01/18/53,DPWDU 4.7 09/30/49,Short Y / Long X,0.67,57.76,-2.0,2.0,0.1295,122,IG,QUASI,False,True,True
KSA 3 3/4 01/21/55,TAQAUH 4.696 04/24/33,Short Y / Long X,0.75,99.65,-1.99,1.99,0.0173,121,IG,QUASI,False,True,True
KSA 4 5/8 10/04/47,UAE 4.951 07/07/52,Short Y / Long X,0.83,66.39,-1.99,1.99,0.0174,122,IG,IG,False,True,True
KSA 4 5/8 10/04/47,DPWDU 4.7 09/30/49,Short Y / Long X,0.65,51.82,-1.99,1.99,0.1189,122,IG,QUASI,False,True,True
ARAMCO 6 3/8 06/02/55,KSA 5 04/17/49,Long Y / Short X,0.9,49.82,1.98,1.98,0.0122,122,IG,IG,False,True,True
KSA 5 04/17/49,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.63,84.39,-1.98,1.98,0.0353,121,IG,QUASI,False,True,True
DPWDU 5 5/8 09/25/48,KSA 3 1/4 11/17/51,Long Y / Short X,1.26,-35.57,1.98,1.98,0.0873,122,QUASI,IG,False,True,True
PIFKSA 5 3/8 10/13/2122,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.68,112.66,-1.97,1.97,0.0102,122,IG,QUASI,False,True,True
KSA 3.45 02/02/61,TAQAUH 4 3/4 03/09/37,Short Y / Long X,0.84,85.18,-1.97,1.97,0.0132,122,IG,QUASI,False,True,True
OMAN 6 1/2 03/08/47,KSA 3 3/4 01/21/55,Long Y / Short X,0.82,42.15,1.97,1.97,0.0232,122,IG,IG,False,True,True
KSA 5 3/4 01/16/54,TAQAUH 4 3/4 03/09/37,Short Y / Long X,0.95,63.55,-1.97,1.97,0.0306,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 10/13/2122,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.64,150.23,-1.97,1.97,0.0696,121,IG,QUASI,False,True,True
ARAMCO 5 7/8 07/17/64,UAE 4.951 07/07/52,Short Y / Long X,0.9,103.55,-1.96,1.96,0.0056,122,IG,IG,False,False,False
ADNOCM 4 1/4 09/11/29,ESCWPC 4.45 08/01/35,Short Y / Long X,0.57,-10.08,-1.96,1.96,0.0244,122,IG,OTHER,False,False,False
ARAMCO 5 7/8 07/17/64,DPWDU 4.7 09/30/49,Short Y / Long X,0.73,84.13,-1.96,1.96,0.0594,122,IG,QUASI,False,False,False
KSA 5 04/17/49,UAE 4.951 07/07/52,Short Y / Long X,0.84,66.51,-1.96,1.96,0.1259,122,IG,IG,False,True,True
KSA 4 1/2 04/22/60,TAQAUH 4 7/8 04/23/30,Short Y / Long X,0.77,120.95,-1.96,1.96,0.1944,122,IG,QUASI,False,True,True
OMAN 6 3/4 01/17/48,DPWDU 4.7 09/30/49,Short Y / Long X,0.61,86.37,-1.95,1.95,0.0036,122,IG,QUASI,False,False,False
KSA 5 3/4 01/16/54,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.93,22.89,-1.95,1.95,0.0464,122,IG,IG,False,True,True
ARAMCO 4 3/4 06/02/30,QPETRO 3 1/8 07/12/41,Long Y / Short X,0.79,-4.97,1.95,1.95,0.0647,122,IG,IG,False,False,False
KSA 4 1/2 10/26/46,TAQAUH 4 3/4 03/09/37,Short Y / Long X,1.06,37.05,-1.95,1.95,0.0818,122,IG,QUASI,False,True,True
KSA 5 04/17/49,DPWDU 4.7 09/30/49,Short Y / Long X,0.66,51.81,-1.95,1.95,0.107,122,IG,QUASI,False,True,True
KSA 3 3/4 01/21/55,TAQAUH 3.4 04/29/51,Short Y / Long X,0.88,56.5,-1.95,1.95,0.1428,122,IG,QUASI,False,True,True
KSA 5 1/2 10/25/32,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.73,-20.93,-1.95,1.95,0.1751,122,IG,IG,False,True,True
KSA 4 1/2 10/26/46,ARAMCO 4 3/8 04/16/49,Short Y / Long X,1.03,-7.49,-1.94,1.94,0.0302,122,IG,IG,False,True,True
OMAN 7 01/25/51,KSA 4 1/2 04/22/60,Long Y / Short X,0.64,76.49,1.94,1.94,0.1039,122,IG,IG,False,True,True
